SKU;Hoja Excel;Fila;Consumo;Unidad;Excel;Proyecto;Diferencia proyecto menos Excel;Diferencia %
BFD15;CANTOS Y OTROS;2;Canto frente 22 mm;m;2.472792;2.4732;0.0004079999999997419;0.016499568099530484
BFD15;CANTOS Y OTROS;2;Canto caja + polar 19 mm;m;11.215879999999999;11.352;0.1361200000000018;1.2136363798471614
BFD15;CANTOS Y OTROS;2;tarugos;und;20;20;0;0.0
BFD15;CANTOS Y OTROS;2;soportes;und;4;4;0;0.0
BFD15;CANTOS Y OTROS;2;carton;und;0.7;0.7;0.0;0.0
BFD15;CANTOS Y OTROS;2;etiquetas;und;4;4;0;0.0
BFD15;CANTOS Y OTROS;2;pata;und;4;4;0;0.0
BFD15;CANTOS Y OTROS;2;bisagra;pares;1;1;0;0.0
BFD15;CANTOS Y OTROS;2;barra;pares;0;0;0;
BFD15;CANTOS Y OTROS;2;riel;pares;0;0;0;
BFD15;CANTOS Y OTROS;2;manija;und;1;1;0;0.0
BFD15;CANTOS Y OTROS;2;tornillo;und;16;16;0;0.0
BFD36;CANTOS Y OTROS;3;Canto frente 22 mm;m;5.276800000000001;5.2512;-0.025600000000000733;-0.48514251061250624
BFD36;CANTOS Y OTROS;3;Canto caja + polar 19 mm;m;16.549879999999998;16.686;0.1361200000000018;0.8224833050149113
BFD36;CANTOS Y OTROS;3;tarugos;und;20;20;0;0.0
BFD36;CANTOS Y OTROS;3;soportes;und;4;4;0;0.0
BFD36;CANTOS Y OTROS;3;carton;und;1.1;1.1;0.0;0.0
BFD36;CANTOS Y OTROS;3;etiquetas;und;4;4;0;0.0
BFD36;CANTOS Y OTROS;3;pata;und;4;4;0;0.0
BFD36;CANTOS Y OTROS;3;bisagra;pares;2;2;0;0.0
BFD36;CANTOS Y OTROS;3;barra;pares;0;0;0;
BFD36;CANTOS Y OTROS;3;riel;pares;0;0;0;
BFD36;CANTOS Y OTROS;3;manija;und;2;2;0;0.0
BFD36;CANTOS Y OTROS;3;tornillo;und;16;16;0;0.0
SBFD30;CANTOS Y OTROS;4;Canto frente 22 mm;m;4.9719999999999995;4.9464;-0.025599999999999845;-0.5148833467417507
SBFD30;CANTOS Y OTROS;4;Canto caja + polar 19 mm;m;12.142623999999998;12.3824;0.23977600000000265;1.9746637958978446
SBFD30;CANTOS Y OTROS;4;tarugos;und;20;20;0;0.0
SBFD30;CANTOS Y OTROS;4;soportes;und;0;0;0;
SBFD30;CANTOS Y OTROS;4;carton;und;0.9;0.9;0.0;0.0
SBFD30;CANTOS Y OTROS;4;etiquetas;und;4;4;0;0.0
SBFD30;CANTOS Y OTROS;4;pata;und;4;4;0;0.0
SBFD30;CANTOS Y OTROS;4;bisagra;pares;2;2;0;0.0
SBFD30;CANTOS Y OTROS;4;barra;pares;0;0;0;
SBFD30;CANTOS Y OTROS;4;riel;pares;0;0;0;
SBFD30;CANTOS Y OTROS;4;manija;und;2;2;0;0.0
SBFD30;CANTOS Y OTROS;4;tornillo;und;16;16;0;0.0
B12;CANTOS Y OTROS;5;Canto frente 22 mm;m;3.1431999999999998;3.1176;-0.025599999999999845;-0.8144566047340241
B12;CANTOS Y OTROS;5;Canto caja + polar 19 mm;m;11.489539999999998;11.4894;-0.00013999999999825263;-0.00121849960919456
B12;CANTOS Y OTROS;5;tarugos;und;24;24;0;0.0
B12;CANTOS Y OTROS;5;soportes;und;4;4;0;0.0
B12;CANTOS Y OTROS;5;carton;und;0.7;0.7;0.0;0.0
B12;CANTOS Y OTROS;5;etiquetas;und;4;4;0;0.0
B12;CANTOS Y OTROS;5;pata;und;4;4;0;0.0
B12;CANTOS Y OTROS;5;bisagra;pares;1;1;0;0.0
B12;CANTOS Y OTROS;5;barra;pares;0;0;0;
B12;CANTOS Y OTROS;5;riel;pares;1;1;0;0.0
B12;CANTOS Y OTROS;5;manija;und;2;2;0;0.0
B12;CANTOS Y OTROS;5;tornillo;und;16;16;0;0.0
B30;CANTOS Y OTROS;6;Canto frente 22 mm;m;6.695999999999999;6.3464;-0.3495999999999988;-5.221027479091978
B30;CANTOS Y OTROS;6;Canto caja + polar 19 mm;m;18.80474;18.3474;-0.4573399999999985;-2.432046388304218
B30;CANTOS Y OTROS;6;tarugos;und;24;24;0;0.0
B30;CANTOS Y OTROS;6;soportes;und;4;4;0;0.0
B30;CANTOS Y OTROS;6;carton;und;0.9;0.9;0.0;0.0
B30;CANTOS Y OTROS;6;etiquetas;und;4;4;0;0.0
B30;CANTOS Y OTROS;6;pata;und;4;4;0;0.0
B30;CANTOS Y OTROS;6;bisagra;pares;2;2;0;0.0
B30;CANTOS Y OTROS;6;barra;pares;0;0;0;
B30;CANTOS Y OTROS;6;riel;pares;1;1;0;0.0
B30;CANTOS Y OTROS;6;manija;und;3;3;0;0.0
B30;CANTOS Y OTROS;6;tornillo;und;16;16;0;0.0
DB30-2;CANTOS Y OTROS;7;Canto frente 22 mm;m;4.9719999999999995;4.9464;-0.025599999999999845;-0.5148833467417507
DB30-2;CANTOS Y OTROS;7;Canto caja + polar 19 mm;m;19.555488;19.4343;-0.12118800000000007;-0.619713504464834
DB30-2;CANTOS Y OTROS;7;tarugos;und;24;24;0;0.0
DB30-2;CANTOS Y OTROS;7;soportes;und;0;0;0;
DB30-2;CANTOS Y OTROS;7;carton;und;0.9;0.9;0.0;0.0
DB30-2;CANTOS Y OTROS;7;etiquetas;und;4;4;0;0.0
DB30-2;CANTOS Y OTROS;7;pata;und;4;4;0;0.0
DB30-2;CANTOS Y OTROS;7;bisagra;pares;0;0;0;
DB30-2;CANTOS Y OTROS;7;barra;pares;2;2;0;0.0
DB30-2;CANTOS Y OTROS;7;riel;pares;2;2;0;0.0
DB30-2;CANTOS Y OTROS;7;manija;und;2;2;0;0.0
DB30-2;CANTOS Y OTROS;7;tornillo;und;16;16;0;0.0
DB12-3;CANTOS Y OTROS;8;Canto frente 22 mm;m;3.9528000000000003;3.9144;-0.03840000000000021;-0.9714632665452391
DB12-3;CANTOS Y OTROS;8;Canto caja + polar 19 mm;m;12.771148;12.8095;0.03835199999999972;0.3003018992497755
DB12-3;CANTOS Y OTROS;8;tarugos;und;28;28;0;0.0
DB12-3;CANTOS Y OTROS;8;soportes;und;0;0;0;
DB12-3;CANTOS Y OTROS;8;carton;und;0.7;0.7;0.0;0.0
DB12-3;CANTOS Y OTROS;8;etiquetas;und;4;4;0;0.0
DB12-3;CANTOS Y OTROS;8;pata;und;4;4;0;0.0
DB12-3;CANTOS Y OTROS;8;bisagra;pares;0;0;0;
DB12-3;CANTOS Y OTROS;8;barra;pares;0;3;3;
DB12-3;CANTOS Y OTROS;8;riel;pares;3;3;0;0.0
DB12-3;CANTOS Y OTROS;8;manija;und;3;3;0;0.0
DB12-3;CANTOS Y OTROS;8;tornillo;und;16;16;0;0.0
DB20-4;CANTOS Y OTROS;9;Canto frente 22 mm;m;6.388;6.34;-0.04800000000000004;-0.7514088916718855
DB20-4;CANTOS Y OTROS;9;Canto caja + polar 19 mm;m;20.912408;20.5103;-0.40210799999999836;-1.922820174510742
DB20-4;CANTOS Y OTROS;9;tarugos;und;32;32;0;0.0
DB20-4;CANTOS Y OTROS;9;soportes;und;0;0;0;
DB20-4;CANTOS Y OTROS;9;carton;und;0.7;0.7;0.0;0.0
DB20-4;CANTOS Y OTROS;9;etiquetas;und;4;4;0;0.0
DB20-4;CANTOS Y OTROS;9;pata;und;4;4;0;0.0
DB20-4;CANTOS Y OTROS;9;bisagra;pares;0;0;0;
DB20-4;CANTOS Y OTROS;9;barra;pares;0;0;0;
DB20-4;CANTOS Y OTROS;9;riel;pares;4;4;0;0.0
DB20-4;CANTOS Y OTROS;9;manija;und;4;4;0;0.0
DB20-4;CANTOS Y OTROS;9;tornillo;und;16;16;0;0.0
DB19-1s;CANTOS Y OTROS;10;Canto frente 22 mm;m;5.0196000000000005;4.9812;-0.03840000000000021;-0.7650011953143718
DB19-1s;CANTOS Y OTROS;10;Canto caja + polar 19 mm;m;17.038348;17.0767;0.03835199999999972;0.22509224485847876
DB19-1s;CANTOS Y OTROS;10;tarugos;und;28;28;0;0.0
DB19-1s;CANTOS Y OTROS;10;soportes;und;0;0;0;
DB19-1s;CANTOS Y OTROS;10;carton;und;0.7;0.7;0.0;0.0
DB19-1s;CANTOS Y OTROS;10;etiquetas;und;4;4;0;0.0
DB19-1s;CANTOS Y OTROS;10;pata;und;4;4;0;0.0
DB19-1s;CANTOS Y OTROS;10;bisagra;pares;0;0;0;
DB19-1s;CANTOS Y OTROS;10;barra;pares;2;2;0;0.0
DB19-1s;CANTOS Y OTROS;10;riel;pares;3;3;0;0.0
DB19-1s;CANTOS Y OTROS;10;manija;und;3;3;0;0.0
DB19-1s;CANTOS Y OTROS;10;tornillo;und;16;16;0;0.0
DB24-2s;CANTOS Y OTROS;11;Canto frente 22 mm;m;5.7816;5.7432;-0.03840000000000021;-0.6641760066417637
DB24-2s;CANTOS Y OTROS;11;Canto caja + polar 19 mm;m;20.086348;20.1247;0.03835199999999972;0.19093565440566757
DB24-2s;CANTOS Y OTROS;11;tarugos;und;28;28;0;0.0
DB24-2s;CANTOS Y OTROS;11;soportes;und;0;0;0;
DB24-2s;CANTOS Y OTROS;11;carton;und;0.7;0.7;0.0;0.0
DB24-2s;CANTOS Y OTROS;11;etiquetas;und;4;4;0;0.0
DB24-2s;CANTOS Y OTROS;11;pata;und;4;4;0;0.0
DB24-2s;CANTOS Y OTROS;11;bisagra;pares;0;0;0;
DB24-2s;CANTOS Y OTROS;11;barra;pares;1;1;0;0.0
DB24-2s;CANTOS Y OTROS;11;riel;pares;3;3;0;0.0
DB24-2s;CANTOS Y OTROS;11;manija;und;3;3;0;0.0
DB24-2s;CANTOS Y OTROS;11;tornillo;und;16;16;0;0.0
W1236;CANTOS Y OTROS;12;Canto frente 22 mm;m;2.6384000000000003;2.6256;-0.012800000000000367;-0.48514251061250624
W1236;CANTOS Y OTROS;12;Canto caja + polar 19 mm;m;10.442552;10.5972;0.15464800000000167;1.4809406742719757
W1236;CANTOS Y OTROS;12;tarugos;und;24;24;0;0.0
W1236;CANTOS Y OTROS;12;soportes;und;8;8;0;0.0
W1236;CANTOS Y OTROS;12;carton;und;0.4;0.4;0.0;0.0
W1236;CANTOS Y OTROS;12;etiquetas;und;4;4;0;0.0
W1236;CANTOS Y OTROS;12;pata;und;0;0;0;
W1236;CANTOS Y OTROS;12;bisagra;pares;1;1;0;0.0
W1236;CANTOS Y OTROS;12;barra;pares;0;0;0;
W1236;CANTOS Y OTROS;12;riel;pares;0;0;0;
